,pageNo,word,spelling,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
502,,অকৃতঘ্ন,১,অকৃতঘ্‌নো,উপকারীর উপকার স্বীকার করে এমন,বিণ,,স. [সংস্কৃত],,,
503,,,১,,কৃতজ্ঞ,,,,,,
504,,,১,,নিমকহালাল,,,,,,
505,,অকৃতঘ্নতা,,,,বি,,স. [সংস্কৃত],,,
506,,অকৃতজ্ঞ,১,অকৃতগ্‌গোঁ,উপকারীর উপকার স্বীকার করে না এমন,বিণ,,স. [সংস্কৃত],,,
507,,,১,,,,,,,,
508,,অকৃতজ্ঞতা,,,,বি,,স. [সংস্কৃত],,,
509,,অকৃতদার,,,,,,,,,
510,,অকৃতধী,,,,,,,,,
511,,অকৃতনামা,,,,,,,,,
512,,অকৃতনামী,,,,,,,,,
513,,অকৃতবিদ্য,,,,,,,,,
514,,অকৃতাত্মা,১,অকৃতাত্‌তাঁ,অপবিত্র চিত্ত,বি,,স. [সংস্কৃত],,,
515,,,১,,অবিশুদ্ধ চিত্ত,,,,,,
516,,অকৃতাত্মা,১,অকৃতাত্‌তাঁ,অপবিত্র চিত্ত,বিণ,,স. [সংস্কৃত],,,
517,,,১,,অবিশুদ্ধ চিত্ত,,,,,,
518,,অকৃতাদর,১,অকৃতাদর্‌,অনাদৃত,বিণ,,স. [সংস্কৃত],,,
519,,,১,,অনভ্যর্থিত,,,,,,
520,,,২,,অনাদরকারী,,,,,,
521,,,২,,অন্যের প্রতি আদর দেখায়নি এমন,,,,,,
522,,অকৃতাপরাধ,১,অকৃতাপোরাধ্‌,নির্দোষ,বিণ,,স. [সংস্কৃত],,,
523,,,১,,নিরপরাধ,,,,,,
524,,,১,,অপরাধ করেনি এমন,,,,,,
525,,অকৃতার্থ,১,অকৃতার্‌থো,অকৃতকার্য,বিণ,,স. [সংস্কৃত],,পরীক্ষায় অকৃতার্থ হইবার বেদনা।,
526,,,১,,ব্যর্থ,,,,,,
527,,,২,,দরিদ্র,,,,,,
528,,,২,,অর্থ উপার্জন করেনি এমন,,,,,,
529,,অকৃতিত্ব,১,অকৃতিত্‌তো,অক্ষমতা,বি,,স. [সংস্কৃত],,,
530,,,১,,অপটুতা,,,,,,
531,,,১,,অযোগ্যতা,,,,,,
532,,অকৃতী,১,অকৃতি,অক্ষম,বিণ,,স. [সংস্কৃত],,অকৃতী আতুর অন্ধ অন্ন করে যায়।,
533,,,১,,অপটু,,,,,,
534,,,১,,অযোগ্য,,,,,,
535,,অকৃতোদ্বাহ,১,অকৃতোদ্‌বাহো,অবিবাহিত,বিণ,,স. [সংস্কৃত],,,
536,,অকৃতোদ্বাহা,,,,,,,,,
537,,অকৃত্য,১,অকৃত্‌তো,অকর্তব্য,বিণ,,স. [সংস্কৃত],,,
538,,,১,,অকরণীয়,,,,,,
539,,,১,,নিন্দিত কাজ,বি,,স. [সংস্কৃত],,,
540,,,১,,কুকাজ,,,,,,
541,,অকৃত্যকারী,১,,কুকর্মকারী,বিণ,,স. [সংস্কৃত],,,
542,,অকৃত্রিম,১,অকৃত্‌ত্রিম,নিশুদ্ধ,বিণ,,স. [সংস্কৃত],,অকৃত্রিম ঔষধ।,
543,,,১,,খাঁটি,,,,,,
544,,,১,,আসল,,,,,,
545,,,২,,অকপট,,,,,অকৃত্রিম হাসি।,
546,,,২,,ছলন্যাশূন্য,,,,,,
547,,অকৃত্রিমতা,,,,বি,,স. [সংস্কৃত],,,
548,,অকৃপ,১,অকৃপ,নির্দয়,বিণ,,স. [সংস্কৃত],,,
549,,,১,,নিষ্ঠুর,,,,,,
550,,অকৃপা,,,,বি,,স. [সংস্কৃত],,,
551,,অকৃপণ,১,অকৃপোন্‌,মুক্তহস্ত,বিণ,,স. [সংস্কৃত],,অনেক দেছেন যিনি মানবেরে অকৃপণ করে।,
552,,,১,"অকৃপন,",বদান্য,,,,,,
553,,,২,,অমিতব্যায়ী,,,,,,
554,,,৩,,প্রচুর,,,,,উদার অকৃপণ.,
555,,অকৃপণতা,,,,বি,,,,,
556,,অকৃষ্ট,১,অকৃশ্‌টো,চষা হয়নি এমন,বিণ,,,,,
557,,,১,,অকর্ষিত,,,,,অকৃষ্ট জমি।,
558,,অকৃষ্টপচ্য,১,,পতিত জমিতে যে শস্যাদি উৎপন্ন হয়ে থাকে,বি,,,,পর্বতে অকৃষ্টপচ্য গম আর দ্রাক্ষালতা জন্মায়।,
559,,অকৃষ্ণ,১,অকৃশ্‌নো,কৃষ্ণবর্ণ নয় এরূপ,বিণ,,স. [সংস্কৃত],,,
560,,,১,,কালো ছাড়া অন্য যেকোনো রংবিশিষ্ট,,,,,,
561,,,২,,সাদা,,,,,অকৃষ্ণ বরণে কহি পীতবরণ।,
562,,অকৃষ্ণকর্মা,১,,নিষ্পাপ,বিণ,,,,,
563,,,১,,দুষ্কার্যহীন,,,,,,
564,,,১,,নিষ্কলঙ্ক,,,,,,
565,,অকেজো,১,অকেজো,কাজের অযোগ্য,বিণ,,,,অকেজো লোক।,
566,,,১,,যা কোনো কাজে আসে না,,,,,অকেজো গাড়ি।,
567,,,১,,অকর্মণ্য,,,,,,
568,,অকেলাস,১,অকেলাশ্‌,দানা বাঁধে না এমন,বিণ,,স. [সংস্কৃত],,কয়লাকে বলা হয় অকেলাস বা দানাহীন কার্বন।,
569,,কেলাসিত,১,,দানাযুক্ত,বিণ,,,,,
570,,অকেশ,১,অকেশ্‌,কেশহীন,বিণ,,স. [সংস্কৃত],,,
571,,,১,,টেকো,,,,,,
572,,অকেশী,১,,কেশহীন,,,,,,
573,,,১,,টেকো,,,,,,
574,,অকেশা,১,,কেশহীন,,,,,,
575,,,১,,টেকো,,,,,,
576,,অকৈতব,১,অকোইতব্‌,অকপট,বিণ,,স. [সংস্কৃত],,,
577,,,১,,অকৃত্রিম,,,,,,
578,,,১,,সরল,,,,,,
579,,অকোপ,১,অকোপ্‌,ক্রোধশূন্যতা,বি,,স. [সংস্কৃত],,,
580,,,১,,ক্রোধশূন্য,বিণ,,,,,
581,,,১,,রাগ নেই এমন,,,,,,
582,,অকোপী,১,,ক্রোধশূন্য,বিণ,,,,,
583,,,১,,রাগ নেই এমন,,,,,,
584,,অকোবিদ,১,অকোবিদ্‌,অপণ্ডিত,বিণ,,স. [সংস্কৃত],,,
585,,,১,,মূর্খ,,,,,,
586,,অকৌশল,১,অকোউশল্‌,অপটুতা,বি,,স. [সংস্কৃত],,"অকৌশল, নিরানন্দ এবং পরশ্রীকাতরতা পরিপূর্ণ।",
587,,,১,,কৌশলের অভাব,,,,,,
588,,,২,,বিরোধ,,,,,,
589,,,২,,ঝগড়া,,,,,,
590,,অক্কা,১,অক্‌কা,প্রভু,বি,,ফা. [ফারসি],,,
591,,,১,,মালিক,,,,,,
592,,অক্কা পাওয়া,১,,মরে যাওয়া,ক্রি,,,ব্যা. [ব্যাকরণ],,
593,,অক্কাপ্রাপ্তি,১,,মরে যাওয়া,বি,,,,,
594,,অক্টোপাস,১,অক্‌টোপাশ্‌,অষ্টভুজ সামুদ্রিক প্রাণীবিশেষ,বি,,ই. [ইংরেজি],,,
595,,,২,অক্‌টোপাস্‌,ব্যাপকভাবে অনিষ্টকর প্রভাবযুক্ত শক্তি বিশেষ,,,,,কি অক্টোপাসের পাল্লাতেই না পড়েছিল সে,
596,,,৩,,চতুর্দিক থেকে বেষ্টিত,,,,,,
597,,,৪,,আক্রান্ত ও বিপন্ন হওয়া,,,,,,
598,,অক্টোবর,১,অক্‌টোবর্‌,ইংরেজি বৎসরের দশম মাস,বি,,ই. [ইংরেজি],,,
599,,অক্রম,১,অক্‌ক্রম্‌,ক্রমশূন্য,বিণ,,স. [সংস্কৃত],,,
600,,,১,,বিশৃঙ্খল,,,,,,
601,,,১,,এলোমেলো,,,,,,
602,,,১,,শৃঙ্খলার অভাব,বি,,,,,
603,,,১,,বিপর্যাস,,,,,,
604,,অক্রিয়,১,অক্‌ক্রিয়ো,নিষ্ক্রিয়,বিণ,,স. [সংস্কৃত],,অক্রিয় অবকাশ,
605,,,১,,বেকার,,,,,,
606,,,২,,নিরুদ্যম,,,,,,
607,,,৩,,অচল,,,,,,
608,,,৩,,ক্রিয়াশূন্য,,,,,,
609,,অক্রিয়তা,,,,বি,,,,,
610,,অক্রিয়ত্ব,,,,,,,,,
611,,অক্রিয়কর্মা,১,,কুকাজ করে এমন,বিণ,,,,,
612,,,১,,কুকর্মা,,,,,,
613,৬,অক্রিয়া,১,অক্‌ক্রিয়া,কর্মশূন্যতা,বি,,স. [সংস্কৃত],,,
614,,,১,,নিষ্ক্রিয়তা,,,,,,
615,,,২,,অন্যায় কার্য,,,,,,
616,,,২,,অবৈধ ক্রিয়া,,,,,,
617,,অক্রিয়ানিষ্ঠ,১,,কুকর্মে রত,বিণ,,,,,
618,,অক্রিয়ান্বিত,১,,কুকর্মে রত,বিণ,,,,,
619,,অক্রিয়ারত,১,,কুকর্মে রত,বিণ,,,,,
620,,অক্রিয়াসক্ত,১,,কুকর্মে রত,বিণ,,,,,
621,,অক্রিয়াচরণ,১,,কুব্যবহার,বি,,,,,
622,,,১,,অবৈধ,,,,,,
623,,অক্রীত,১,অক্‌ক্রিতো,ক্রয় করা হয়নি এমন,বিণ,,স. [সংস্কৃত],,,
624,,,২,,কেনার মতো নয় এমন,,,,,,
625,,অক্রুদ্ধ,১,অক্রুদ্‌ধো,আড়ষ্ট,বিণ,,স. [সংস্কৃত],,,
626,,,১,,ক্রোধহীন,,,,,,
627,,অক্রূর,১,অক্‌ক্রুর্‌,সরল,বিণ,,স. [সংস্কৃত],,,
628,,,১,,অকুটিল,,,,,,
629,,,১,,কৃষ্ণের পিতৃব্য,বি,,,,,
630,,অক্রেয়,১,অক্‌ক্রেয়,দুর্মূল্য,বিণ,,স. [সংস্কৃত],,,
631,,,১,,মহার্ঘ,,,,,,
632,,,১,,আক্রা,,,,,,
633,,অক্রেয়তা,১,,দুর্মূল্য,বি,,,,,
634,,,১,,মহার্ঘ,,,,,,
635,,,১,,আক্রা,,,,,,
636,,অক্রোধ,১,অক্‌ক্রোধ,ক্রোধশূন্যতা,বি,,স. [সংস্কৃত],,,
637,,,১,,ক্রোধহীন,বিণ,,,,তিনি অক্রোধ ও ক্ষমাশীল,
638,,,১,,রোষশূন্য,,,,,,
639,,অক্রোধিত,,,,বিণ,,,,,
640,,অক্রোধী,,,,বিণ,,,,,
641,,অক্লান্ত,১,অক্লান্‌তো,ক্লান্তিহীন,বিণ,,,,,
642,,,১,,অশ্রান্ত,,,,,,
643,,,১,,ক্লান্তিহীনভাবে,ক্রিবিন,,,,,
644,,,১,,ক্রমাগত,,,,,,
645,,অক্লান্তকর্মা,১,,পরিশ্রমে অকাতর,বিণ,,,,,
646,,,১,,অতিশয় পরিশ্রমী,,,,,,
647,,অক্লিষ্ট,১,অক্লিশ্‌টো,ক্লান্তিশূন্য,বিণ,,স. [সংস্কৃত],,,
648,,,১,,শ্রান্তিহীন,,,,,,
649,,,১,,অদম্য,,,,,,
650,,,২,,নিবৃত্তিহীন,,,,,,
651,,,২,,অদম্য,,,,,,
652,,,২,,নিরবচ্ছিন্ন,,,,,,
653,,,৩,,অম্লান,,,,,,
654,,অক্লিষ্টকর্মা,১,,পরিশ্রমে অকাতর,,,,,,
655,,,১,,অক্লেশে কর্মসমাপনকারী,বিণ,,,,,
656,,অক্লীব,১,অক্‌ক্লিব্‌,পুরুষত্ববিশিষ্ট,বিণ,,,,,
657,,,১,,বীর্যবান,,,,,,
658,,,২,,ধৈর্যশীল,,,,,,
659,,,২,,সহিষ্ণু,,,,,,
660,,অক্লেশ,১,অক্‌ক্লেশ,ক্লেশের অভাব,বি,,,,,
661,,,১,,ক্লেশহীন,বিণ,,,,,
662,,অক্লেশে,১,,অনায়াসে,ক্রিবিন,,স. [সংস্কৃত],,,
663,,,১,,বিনা পরিশ্রমে,,,,,,
664,,,১,,সহজে,,,,,,
665,,অক্ষ,১,অক্‌খো,ক্রীড়াবিশেষ,বি,,স. [সংস্কৃত],,নির্জীব শুষ্ক অক্ষকে শুকিয়ে দিচ্ছে।,
666,,,১,,পাশা,,,,,,
667,,,২,,মেরুকেন্দ্র রেখা,,,,ভূগো [ভূগোল],,
668,,,৩,,রুদ্রাক্ষ বীজ,,,,,হেরিবে তাহার অক্ষরাজিতে তোমারি সে নামমালা,
669,,,৪,,বিষুবরেখা থেকে কোনো স্থানের কৌণিক দুরত্ব,,,,,,
670,,,৫,,ইন্দ্রিয়,,,,,,
671,,,৬,,চক্ষু,,,,,কুম্ভকার চক্র যেন ঘুরে দুই অক্ষ,
672,,অক্ষক্রীড়া,১,,পাশাখেলা,বি,,,,,
673,,অক্ষটি,১,,পৃথক ভুক্তি,,,,,,
674,,অক্ষত,১,,পৃথক ভুক্তি,,,,,,
675,,অক্ষপাদ,১,,ন্যায়শাস্ত্র-প্রণেতা,,,,,,
676,,,১,,গৌতম ঋষি,,,,,,
677,,অক্ষবাট,১,,কুস্তির আখড়া,বি,,,,,
678,,,২,,পাশা খেলার আড্ডা,,,,,,
679,,অক্ষমালা,১,,রুদ্রাক্ষমালা,বি,,,,,
680,,,১,,জপমালা,,,,,,
681,,অক্ষসূত্র,১,,রুদ্রাক্ষমালা,বি,,,,,
682,,,১,,জপমালা,,,,,,
683,,অক্ষবৃত্ত,১,,বিষুবরেখা থেকে সমদূরবর্তী উত্তর ও দক্ষিণের কল্পিত রেখা,বি,,,ভূগো [ভূগোল],,
684,,অক্ষরেখা,১,,বিষুবরেখা থেকে সমদূরবর্তী উত্তর ও দক্ষিণের কল্পিত রেখা,,,,,,
685,,অক্ষহার,১,,জপমালার বীজের হার,বি,,,,"অঙ্গে পরিব গৈরিক বাস, গলায় অক্ষহার",
686,,অক্ষত,১,অক্‌খতো,ক্ষতশূন্য,বিণ,,স. [সংস্কৃত],,,
687,,,১,,আঘাতহীন,,,,,,
688,,,২,,নির্দোষ,,,,,,
689,,,২,,নিখুঁত,,,,,,
690,,,৩,,অখণ্ডিত,,,,,,
691,,,৩,,অচ্ছিন্ন,,,,,,
692,,,১,,আতপ চাল,বি,,,,,
693,,অক্ষতদেহ,১,,ক্ষতহীন দেহ,বি,,,,,
694,,,১,,নিখুঁত বা অবিকৃত শরীর,,,,,,
695,,,১,,ক্ষতহীন দেহ বিশিষ্ট,বিণ,,,,,
696,,,১,,অবিকৃত অঙ্গবিশিষ্ট,,,,,,
697,,অক্ষতশরীর,১,,ক্ষতহীন দেহ,বি,,,,,
698,,,১,,নিখুঁত বা অবিকৃত শরীর,,,,,,
699,,,১,,ক্ষতহীন দেহ বিশিষ্ট,বিণ,,,,,
700,,,১,,অবিকৃত অঙ্গবিশিষ্ট,,,,,,
701,,অক্ষতদেহে,,,,ক্রিবিন,,,,,
702,,অক্ষতশরীরে,,,,ক্রিবিন,,,,,
703,,অক্ষতযোনি,১,,পুরুষসঙ্গম হয়নি এমন নারী,বিণ,,,,,
704,,,১,,কুমারী,,,,,,
705,,অক্ষম,১,অক্‌খম্‌,ক্ষমতাহীন,বিণ,,স. [সংস্কৃত],,,
706,,,১,,দুর্বল,,,,,,
707,,,২,,অসমর্থ,,,,,,
708,,,২,,অপটু,,,,,,
709,,,৩,,অযোগ্য,,,,,,
710,,অক্ষমতা,,,,বি,,,,,
711,,অক্ষমা ২,১,অক্‌খমা,ক্রোধ,বি,,স. [সংস্কৃত],,,
712,,,১,,ক্ষমাশূন্যতা,,,,,,
713,,,২,,অসহিষ্ণুতা,,,,,,
714,,অক্ষয়,১,অক্‌খয়্‌,ক্ষয়হীন,বিণ,,স. [সংস্কৃত],,,
715,,,১,,অমর,,,,,,
716,,,১,,চিরস্থায়ী,,,,,,
717,,,২,,অফুরন্ত,,,,,,
718,,অক্ষয়কীর্তি,১,,চিরদিন বর্তমান থাকে এরুপ কাজ বা প্রতিষ্ঠান,,,,,,
719,,,২,,চিরস্থায়ী খ্যাতি বা যশ,,,,,,
720,,অক্ষয়তৃতীয়া,১,,চান্দ্র বৈশাখের শুক্লাতৃতীয়া,বি,,,,,
721,,,১,,হিন্দুপর্ববিশেষ,,,,,,
722,,অক্ষয়লোক,১,,স্বর্গ,বি,,,,,
723,,,১,,বেহেশত,,,,,,
724,,অ-ক্ষর,১,অক্‌খর্‌,ক্ষরণশূন্য,বিণ,,স. [সংস্কৃত],,অক্ষরজ্ঞান যদি সকলেই পাই,
725,,,১,,স্থিতিশীল,,,,,অ-ক্ষর অব্যয়,
726,,অক্ষর,১,অক্‌খোর্‌,বর্ণ,বিণ,,স. [সংস্কৃত],,,
727,,,১,,হরফ,,,,,,
728,,,১,,একেবারে উচ্চারণযোগ্য শব্দের ক্ষুদ্রতম অংশ,,,,,,
729,,,২,,সিসা নির্মিত হরফ,,,,,,
730,,অক্ষরজীবক,১,,লিপিকর,বি,,,,,
731,,,১,,লেখক,,,,,,
732,,,১,,মুদ্রাকর,,,,,,
733,,অক্ষরডম্বর,১,,অক্ষরের আড়ম্বরযুক্ত বা ঘটাপূর্ণ,বিণ,,,,বাণভট্টের হর্ষচরিত অক্ষরডম্বর হলেও কেবলয়াত্র ধ্বনিসার নয়,
734,,অক্ষর পরিচয়,১,,বর্ণজ্ঞান,বি,,,,,
735,,,২,,পাঠারম্ভ,,,,,,
736,,,৩,,সামান্যতম জ্ঞান,,,,,,
737,,অক্ষর বিন্যাস,১,,শ্রেণিবদ্ধভাবে অক্ষর সাজানো বা লিখন,,,,,,
738,,,১,,বর্ণসংস্থাপন,,,,,,
739,,অক্ষরমালা,১,,বর্ণমালা,বি,,,,,
740,,অক্ষরে অক্ষরে,১,,যথাযথভাবে,ক্রিবিন,,,,,
741,,,১,,অবিকল,,,,,,
742,,,১,,হুবহু,,,,,,
743,,,১,,ঠিক ঠিক,,,,,,
744,,অক্ষরান্তরীকরণ,১,,এক ভাষার শব্দকে অন্য ভাষায় অক্ষরে প্রকাশ করা,বি,,,,,
745,,,১,,প্রতিবর্ণীকরণ,,,,,,
746,,,১,,অনুলিখন,,,,,,
747,,অক্ষাংশ,১,অক্‌খাঙ্‌শো,*,বি,,স. [সংস্কৃত],ভূগো [ভূগোল],,
748,,অক্ষার,১,অক্‌খার্‌,যা ক্ষার নয়,বি,,স. [সংস্কৃত],,,
749,,অক্ষারলবণ,১,,সৈন্ধবাদি লবণ,বি,,,,,
750,,অক্ষি,১,ওক্‌খি,চোখ,বি,,স. [সংস্কৃত],,চকিত রহিল অক্ষি পালক পাসরি,
751,,,১,,আঁখি,,,,,,
752,,অক্ষিকাচ,১,,পরকলা,বি,,,,,
753,,অক্ষিকোটর,১,,চোখের খোল,বি,,,,,
754,,অক্ষিগত,১,,দৃষ্টিগোচর,বিণ,,,,,
755,,অক্ষিগোলক,১,,চোখের অভ্যন্তরস্থ সমস্ত গোলাকার অংশ,বি,,,,,
756,,অক্ষিতারকা,১,,চোখের তারা,বি,,,,,
757,,অক্ষিপক্ষ্ম,১,,চোখের পাতার লোম,বি,,,,,
758,,অক্ষিলোম,১,,চোখের পাতার লোম,বি,,,,,
759,,অক্ষিপট,১,,অক্ষিগোলকের পশ্চাদ্‌ভাগস্থ অতি সূক্ষ্ম ঝিল্লি বা পর্দা,বি,,,প্রাণি [প্রাণিবিজ্ঞান],,
760,,অক্ষিপটল,১,,চোখের পাতা,বি,,,,,
761,,অক্ষিপুট,১,,চোখের পাতা,বি,,,,,
762,৭,,,,,,,,,,
